timestamp,vehicle_id,sequence_number,telemetry_status,communication_state,rpm,packet_loss_indicator,command_status
1787935200.000,TRUCK_01,1,ONLINE,HEALTHY,240.0,0.0,IDLE
1787935200.050,TRUCK_02,1,ONLINE,HEALTHY,180.0,0.0,IDLE
1787935200.500,TRUCK_01,2,ONLINE,HEALTHY,242.0,0.0,CMD_EXEC
1787935200.550,TRUCK_02,2,ONLINE,HEALTHY,181.5,0.0,IDLE
1787935201.000,TRUCK_01,3,ONLINE,HEALTHY,245.0,0.0,IDLE
1787935201.050,TRUCK_02,3,ONLINE,HEALTHY,183.0,0.0,IDLE
1787935201.500,TRUCK_01,4,ONLINE,HEALTHY,244.0,0.0,IDLE
1787935201.550,TRUCK_02,4,ONLINE,HEALTHY,182.0,0.0,CMD_EXEC
1787935202.000,TRUCK_01,5,ONLINE,HEALTHY,246.0,0.0,IDLE
1787935202.050,TRUCK_02,5,ONLINE,HEALTHY,184.0,0.0,IDLE
1787935202.500,TRUCK_01,6,STALE,COMMUNICATION_DEGRADED,246.0,1.0,IDLE
1787935202.550,TRUCK_02,6,ONLINE,HEALTHY,185.0,0.0,IDLE
1787935203.000,TRUCK_01,7,OFFLINE,COMMUNICATION_DEGRADED,0.0,1.0,IDLE
1787935203.050,TRUCK_02,7,ONLINE,HEALTHY,186.0,0.0,IDLE
1787935203.500,TRUCK_01,8,RECOVERING,COMMUNICATION_DEGRADED,240.0,0.0,IDLE
1787935203.550,TRUCK_02,8,ONLINE,HEALTHY,186.5,0.0,IDLE
1787935204.000,TRUCK_01,9,ONLINE,HEALTHY,243.0,0.0,IDLE
1787935204.050,TRUCK_02,9,ONLINE,HEALTHY,187.0,0.0,IDLE
